Listagem de CPUs:

ID	Setor	Estação	IP	Serial
95	Informática - Reserva	SMSHMJSH	192.168.	BRJ6133WSP
96	Informática - Reserva	SMSHMJSH	192.168.	BRJ61340CG
97	Informática - Reserva	SMSHMJSH	192.168.	BRJ61340M9
98	Informática - Reserva	SMSHMJSH	192.168.	BRJ61340TC
99	Informática - Reserva	SMSHMJSH	192.168.	BRJ61340WZ
100	Informática - Reserva	SMSHMJSH	192.168.	BRJ61340XF
101	Informática - Reserva	SMSHMJSH	192.168.	BRJ61340YG
102	Informática - Reserva	SMSHMJSH	192.168.	BRJ61340YP
103	Informática - Reserva	SMSHMJSH	192.168.	BRJ61340YS
104	Informática - Reserva	SMSHMJSH	192.168.	BRJ61340YS
105	Informática - Reserva	SMSHMJSH	192.168.	BRJ6134106
106	Informática - Reserva	SMSHMJSH	192.168.	BRJ61341DD
107	Informática - Reserva	SMSHMJSH	192.168.	BRJ61341FD
108	Informática - Reserva	SMSHMJSH	192.168.	BRJ61341H1
109	Informática - Reserva	SMSHMJSH	192.168.	BRJ61341R4
110	Informática - Reserva	SMSHMJSH	192.168.	BRJ61341ZZ
111	Informática - Reserva	SMSHMJSH	192.168.	BRJ6134222
112	Informática - Reserva	SMSHMJSH	192.168.	BRJ61342BV
113	Informática - Reserva	SMSHMJSH	192.168.	BRJ61342NM
114	Informática - Reserva	SMSHMJSH017	192.168.161.19	BRJ210VY97
115	Informática - Reserva	SMSHMJSH041	192.168.160.8	BRJ351C1TZ
116	Lactário	SMSHMJSH275	192.168.160.96	BRJ350C1H1
117	Manutenção	SMSHMJSH024	192.168.160.62	BRJ210VY6Z
118	Manutenção	SMSHMJSH070	192.168.160.48	BRJ210VYC6
119	Manutenção	SMSHMJSH077	192.168.160.43	BRJ212WDWC
120	Manutenção	SMSHMJSH118	192.168.161.44	BRJ218XY3J
121	Manutenção	SMSHMJSH133	192.168.160.97	BRJ150SKBD
122	Manutenção	SMSHMJSH251	192.168.160.244	BRJ212WFS0
123	Medicação	SMSHMJSH046	192.168.160.187	BRJ218XY4R
124	NIR/Remoção	SMSHMJSH090	192.168.160.88	BRJ218XY3Z
125	NIR/Remoção	SMSHMJSH114	192.168.160.89	BRJ218XY4Z
126	NIR/Remoção	SMSHMJSH115	192.168.160.167	BRJ218XY5Q
127	Nutrição	SMSHMJSH007	192.168.160.13	BRJ350C1GQ
128	Nutrição	SMSHMJSH027	192.168.160.199	BRJ210VYB0
129	OPME	SMSHMJSH088	192.168.161.21	BRJ212WFT9
130	OPME	SMSHMJSH103	192.168.161.14	BRJ218XY5B
131	Ortopedia	SMSHMJSH034	192.168.160.42	BRJ210VY8B
132	Ouvidoria	SMSHMJSH068	192.168.160.27	BRJ212WDVT
133	Registro/Coordenação	SMSHMJSH061	192.168.160.202	BRJ210VYB8
134	Registro/Coordenação	SMSHMJSH071	192.168.160.86	BRJ212WDYY
135	Registro/Internação	SMSHMJSH001	192.168.161.85	BRJ210VYC4
136	Registro/Recepção	SMSHMJSH036	192.168.160.220	BRJ218XY30
137	Registro/Recepção	SMSHMJSH038	192.168.160.151	BRJ212WFP6
138	Registro/Recepção	SMSHMJSH039	192.168.160.166	BRJ218XY5V
139	Registro/Recepção	SMSHMJSH150	192.168.160.150	BRJ210VY7C
140	Registro/Visita	SMSHMJSH030	192.168.160.204	BRJ212WDYP
141	Registro/Visita	SMSHMJSH069	192.168.160.168	BRJ218XY2H
142	Rouparia	SMSHMJSH009	192.168.160.90	BRJ210VY7S
143	SAME	SMSHMJSH018	192.168.160.19	BRJ210VYB1
144	SAME	SMSHMJSH026	192.168.160.15	BRJ212WDYD
145	SAME	SMSHMJSH048	192.168.160.17	BRJ218XY51
146	SAME	SMSHMJSH057	192.168.160.45	BRJ210VY85
147	SAME	SMSHMJSH058	192.168.160.20	BRJ212WF00
148	SAME	SMSHMJSH102	192.168.160.14	BRJ212WFNZ
149	SAME	SMSHMJSH111	192.168.160.16	BRJ218XY1R
150	SAME	SMSHMJSH134	192.168.160.98	BRJ150SK4S
151	SAME	SMSHMJSH231	192.168.160.212	BRJ431JZ7W
152	SAME	SMSHMJSH271	192.168.160.158	BRJ351C1VX
153	SCIH	SMSHMJSH013	192.168.161.164	BRJ210VY9G
154	SCIH	SMSHMJSH050	192.168.160.175	BRJ431JYYT
155	SCIH	SMSHMJSH260	192.168.161.26	BRJ429JN7C
156	SCIH	SMSHMJSH500	192.168.160.34	BRJ429JN80
157	Segurança do Trabalho	SMSHMJSH019	192.168.160.243	BRJ210VY81
158	Serviço Social (Adm)	SMSHMJSH025	192.168.160.84	BRJ210VY74
159	Serviço Social (Adm)	SMSHMJSH029	192.168.160.170	BRJ212WFRH
160	Serviço Social (Coord)	SMSHMJSH130	192.168.160.79	BRJ150SM1W
161	Serviço Social (Coord)	SMSHMJSH214	192.168.160.172	BRJ210VY76
162	Suprimentos	SMSHMJSH004	192.168.160.174	BRJ210VY9Q
163	Suprimentos	SMSHMJSH098	192.168.161.13	BRJ218XY2W
164	Suprimentos	SMSHMJSH105	192.168.161.12	BRJ210VY96
165	Sutura	SMSHMJSH064	192.168.161.31	BRJ212WDYS
166	Sutura	SMSHMJSH086	192.168.160.148	BRJ212WFSY
167	UTI Adulto Roxa	SMSHMJSH110	192.168.160.189	BRJ350C1GZ
168	UTI Adulto Roxa	SMSHMJSH135	192.168.161.36	BRJ425HWJ1
169	UTI Adulto Roxa	SMSHMJSH210	192.168.160.190	BRJ210VY8H
170	UTI Adulto Verde	SMSHMJSH032	192.168.160.183	BRJ212WFS5
171	UTI Adulto Verde	SMSHMJSH044	192.168.160.169	BRJ218XY2Y
172	UTI Adulto Verde	SMSHMJSH049	192.168.160.184	BRJ218XY1N
173	UTI Adulto Verde	SMSHMJSH066	192.168.160.182	BRJ212WDZ2
174	UTI Adulto Verde	SMSHMJSH104	192.168.160.180	BRJ212WFST
175	UTI Adulto Verde	SMSHMJSH106	192.168.160.181	BRJ218XY4P
176	UTI Pediatrica	SMSHMJSH005	192.168.160.52	BRJ210VY92
177	UTI Pediatrica	SMSHMJSH023	192.168.160.51	BRJ210VYB7
178	UTI Pediatrica	SMSHMJSH040	192.168.160.50	BRJ218XY29
179	UTI Pediatrica	SMSHMJSH052	192.168.160.237	BRJ210VY7N
180	Vacina	SMSHMJSH095	192.168.160.39	BRJ212WDY8
181	Zeladoria	SMSHMJSH094	192.168.160.201	BRJ212WFNS
